Timestamp,In which course are you enrolled?,Course design [The assigned readings have helped me meet the Learning Targets.],Course design [The RStudio primers have helped me meet the Learning Targets.],Course design [The Team Activities have helped me meet the Learning Targets.],Course design [The Projects have helped me meet the Learning Targets.],Course design [The Learning Target Checks have helped me meet the Learning Targets.],Course design [The online class sessions have helped me meet the Learning Targets.],Course design [The Learning Journals have helped me meet the Learning Targets.],Course design [The Blackboard course site is organized in a way that helps me to effectively navigate the course materials.],Instructor [The instructor is genuinely interested in my understanding.],Instructor [The instructor answers questions effectively.],Instructor [The instructor is available for extra help when needed.],"I have reached out for assistance from the instructor (asked questions during class sessions, posted an Issue on GitHub, emailed the instructor, attended drop-in sessions, etc.)","What as been the best aspect of *this course* so far, and why?","If there was one thing about *this course* that you would change, what would it be, and why?",What is one thing that *you* can do differently to improve your learning? Explain how you plan to do this.,Provide any additional comments that you feel that were not addressed by the above items or that you wish to expand upon here.
6/7/2021 19:36:26,STA 518,Moderately disagree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Moderately disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,I think the resources are helpful because R is very new to me and I have tried to max them out in learning.,"I think I would try to match the learning check with what we are doing in class because especially being a new learner, I feel Im spending a lot of time looking up information trying to match my understanding to the questions being asked, only to find out I didn't understand the question in the first place.  I also think Github has been kind of confusing in troubleshooting errors and Im not always finding the information I need to troubleshoot whenever I run into a problem.",I think I really need to maybe work on preparations before I try to do learning target checks or projects because sometimes I think the learning targets and projects require more knowledge or practice before being able to answer the questions which I don't feel I have.  I often find that im spending so much time searching for code that works to answer the question that I loose track of time and can't meet the deadline of the learning target check.  I think its become really frustrating for me as a learner to try to meet the pace but I haven't quite given up yet.,"what kind of questions do you like us asking you as the instructor? This is something that is really hard for me to gauge I think because I know I should know the coding better, but even if I understand the problem Im not comfortable enough with the coding to make sure I have done it right to answer the question. So I often don't know if the question im asking can be found in the resources we are already given or if I need to do more searching.  Most often I feel I know what needs to be done to tidy the data but I need to figure out whats the best process out of what we have learned to do it, and Im not sure I have done a good job of it as yet."
6/7/2021 20:48:00,STA 418,Moderately agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,I think the Primers and the in-class activities have significantly helped my understanding.,The Project are quite tough. At least the one I am currently working on. I feel that the questions are too broad. I find myself spending hours trying to even figure out how I am supposed to be responding or thinking of what the professor would be looking for in the output.,"I really don't have an answer for this. I feel like I am doing the best of abilities to understand and learn RStudio and R code including reading all information provided, completing activities, completing learning target checks, and looking online for when I am stumped.",
6/8/2021 0:14:16,STA 518,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Effective explanation by professor.,nothing,"I just listen to classes and practice from the given assignments mostly. Apart from that, i also search information form online to learn extra concepts.",
6/8/2021 7:18:27,STA 518,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Moderately disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,"The relevance of the material is very high. I am able to immediately apply the things we are learning, which is very exciting.","I would change the structure so that one day each week would be the entire class together, with the professor leading class. Then use the other day for group activities.",More learning journals. I have not been very good about keeping up with them. I need to get on a schedule to do them more frequently.,
6/8/2021 10:54:40,STA 418,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Slightly disagree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Yes,"The best aspect about this course is that the overarching topics of the activities and projects are pretty intriguing. With things like the gender pay gap and college major earnings, I am actually motivated to create my own visualizations and explore the data myself.","I think that more examples of troubleshooting that includes a mock process of googling and looking through R4DS would be helpful. 
Another thing that would be helpful is recorded tutorial videos",Watch more YouTube videos on R and play around with data in R in my free time.,"It is hard to pinpoint one thing that I would change, but I think that the course would benefit from more guided activities. The Rstudio primers seem to give me a good understanding when I do the preparations, but once I get into the activities or projects themselves, I have an extremely hard time figuring out what to do. I get that this is what coding always entails (figuring out how to get the desired output), but R seems to be just very hard to learn for someone who is new to it. This course relies on the student to know (and/or figure out) how to teach themselves coding. 
I think another thing that would be helpful are optional recorded lecture videos that would use the functions that we have covered. The teaching in the live sessions are great, but more focused and comprehensive recorded videos would be much better in my opinion. Aside from the Rstudio primers, there is no exposure to the actual process of coding aside from doing that activities and projects. This is good in its own way because I learn how to figure things out myself, but I often feel that there are much better ways of figuring things out than the way I have been doing."
6/8/2021 12:06:12,STA 518,Moderately agree,Moderately agree,Moderately agree,Slightly disagree,Slightly agree,Moderately agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,"Learning activities, and preparations. Both combined allow the newly learnt information settle in better. ",Nothing I can think of so far. ,Take more detailed notes,
6/8/2021 12:15:15,STA 518,Strongly agree,Strongly agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,"The book readings, primers, and being able to work through the activities with classmates has been the most beneficial to learning the material for me. The readings and primers explain things well and have good examples, and being able to combine our understanding with others in class and ask questions during the activities is helpful.","Keeping up with the learning journals can be hard, and sometimes I feel like I get more out of applying what I learned in the projects, learning target checks, and activities than writing the learning journals.",Doing the exercises in the book to practice using what I just read about right away.,
6/8/2021 16:09:10,STA 518,Slightly agree,Moderately agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Moderately agree,Strongly agree,Strongly agree,Yes,The Learning targets help us in learning the course,"The learning journals, are too much to work on",Reduce Learning journals.,
6/8/2021 18:16:40,STA 418,Slightly agree,Moderately agree,Moderately agree,Slightly disagree,Strongly agree,Moderately agree,Strongly disagree,Slightly agree,Moderately agree,Slightly agree,Slightly disagree,Yes,The class sessions and primers are by far the best aspects because that is where I learn the most about class material.,"I would like to do projects in partners, I think the projects are a little difficult and I think doing them with another person would be helpful.","I think reviewing the material a lot more would help me, either in the book or the primers. But also asking more questions as well. ",
6/8/2021 18:21:17,STA 518,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,I think the online format is nice for this class because I am able to focus without distractions from other classmate discussions.,"More clear and informative instructions in class activities and projects, so I can focus more on R and less on interpreting directions.",I am going to do a better job of learning the preparation material before the class. I think extra review will help me learn it before hand instead of in the class. ,
